no	custom_index	rule	kr	en
1	4	)\n{\n	event\n	{\n		Ongoing - Global;\n	}\n\n	actions\n	{\n		Disable Inspector Recording;\n		Disable Built-In Game Mode Completion;\n		Create Dummy Bot(All Heroes, Host Player, False, Null, Null);\n		Start Forcing Dummy Bot Name(Last Created Entity, Custom String(\n				요리사	Chef
2	5	)\n{\n	event\n	{\n		Ongoing - Global;\n	}\n\n	actions\n	{\n		Disable Inspector Recording;\n		Disable Built-In Game Mode Completion;\n		Create Dummy Bot(All Heroes, Host Player, False, Null, Null);\n		Start Forcing Dummy Bot Name(Last Created Entity, Custom String(\n				홀 서버	Waiting Staff
3	6	)\n{\n	event\n	{\n		Ongoing - Global;\n	}\n\n	actions\n	{\n		Disable Inspector Recording;\n		Disable Built-In Game Mode Completion;\n		Create Dummy Bot(All Heroes, Host Player, False, Null, Null);\n		Start Forcing Dummy Bot Name(Last Created Entity, Custom String(\n				수습생	Apprentice
4	7	)\n{\n	event\n	{\n		Ongoing - Global;\n	}\n\n	actions\n	{\n		Disable Inspector Recording;\n		Disable Built-In Game Mode Completion;\n		Create Dummy Bot(All Heroes, Host Player, False, Null, Null);\n		Start Forcing Dummy Bot Name(Last Created Entity, Custom String(\n				헤드셰프	Head Chef
5	8	)\n{\n	event\n	{\n		Ongoing - Global;\n	}\n\n	actions\n	{\n		Disable Inspector Recording;\n		Disable Built-In Game Mode Completion;\n		Create Dummy Bot(All Heroes, Host Player, False, Null, Null);\n		Start Forcing Dummy Bot Name(Last Created Entity, Custom String(\n				〔{0}〕 - 직책 변경	[{0}] - Change Role
6	11	)\n{\n	event\n	{\n		Ongoing - Global;\n	}\n\n	actions\n	{\n		Disable Inspector Recording;\n		Disable Built-In Game Mode Completion;\n		Create Dummy Bot(All Heroes, Host Player, False, Null, Null);\n		Start Forcing Dummy Bot Name(Last Created Entity, Custom String(\n				솥	Pot
7	12	)\n{\n	event\n	{\n		Ongoing - Global;\n	}\n\n	actions\n	{\n		Disable Inspector Recording;\n		Disable Built-In Game Mode Completion;\n		Create Dummy Bot(All Heroes, Host Player, False, Null, Null);\n		Start Forcing Dummy Bot Name(Last Created Entity, Custom String(\n				{0}초	{0}s
8	14	)\n{\n	event\n	{\n		Ongoing - Global;\n	}\n\n	actions\n	{\n		Disable Inspector Recording;\n		Disable Built-In Game Mode Completion;\n		Create Dummy Bot(All Heroes, Host Player, False, Null, Null);\n		Start Forcing Dummy Bot Name(Last Created Entity, Custom String(\n				오븐	Oven
9	15	)\n{\n	event\n	{\n		Ongoing - Global;\n	}\n\n	actions\n	{\n		Disable Inspector Recording;\n		Disable Built-In Game Mode Completion;\n		Create Dummy Bot(All Heroes, Host Player, False, Null, Null);\n		Start Forcing Dummy Bot Name(Last Created Entity, Custom String(\n				팬	Pan
10	16	)\n{\n	event\n	{\n		Ongoing - Global;\n	}\n\n	actions\n	{\n		Disable Inspector Recording;\n		Disable Built-In Game Mode Completion;\n		Create Dummy Bot(All Heroes, Host Player, False, Null, Null);\n		Start Forcing Dummy Bot Name(Last Created Entity, Custom String(\n				제빙기	Ice Maker
