696	Global.permissionText = Array(Array(Custom String("요리사"), Custom String("홀 서버"), Custom String("수습생"), Custom String("헤드셰프")),
698	Create In-World Text(Global.selectPlayer != Null ? Host Player : Null, Custom String("〔{0}〕 - 직책 변경", Input Binding String(Button(
725	Create In-World Text(Players Within Radius(Vector(226.649, 2, 159.387), 10, Team 1, Off), Custom String("제빙기"), Vector(226.649, 3,
727	Create In-World Text(Players Within Radius(Vector(233.778, 2, 167.685), 10, Team 1, Off), Custom String("싱크대"), Vector(233.778, 3,
734	Create In-World Text(Players Within Radius(Vector(231.369, 2, 166.183), 10, Team 1, Off), Custom String("도마"), Vector(231.369, 3,
736	Create In-World Text(Players Within Radius(Vector(222.109, 2, 156.602), 10, Team 1, Off), Custom String("도마"), Vector(222.109, 3,
741	Local Player.knifeCode + True ? Custom String("〔{0}〕:  썰기  ", Input Binding String(Button(Interact))) : Custom String(
742	"  칼이 없습니다  "), Null, Custom String("\r\n"), Top, 6, Local Player.knifeCode + True ? Color(Lime Green) : Color(Red), Null,
793	Custom String("레스토랑(WM3MW) v260531\r\ndiscord&recipes : ow-restaurant.com/ko"), Null, Right, -2, Null, Custom Color(Array(255, 140, 110, 255, 255, 38)[Global.stageMode], Array(50, 255, 180, 225, 120, 38)[Global.stageMode], Array(145, 180, 255, 120, 120, 65)[Global.stageMode], 255), Null, String and Color, Default Visibility);
798	Custom String("{0} 제작 중인 특수 칼:{1}개", Hero Icon String(Hero(Torbjörn)), Global.orderedKnives[False] + Global.orderedKnives[True]),
799	Custom String("{0} 솥:{1}% / 튀김&제빙:{2}%", Hero Icon String(Hero(Junkrat)), 100 + 25 * Global.potPower,
800	Global.fryingPower * 100)), Custom String("{0} 팬:{1}% / 오븐:{2}%", Hero Icon String(Hero(Junkrat)), Global.panPower * 100,
801	Global.grillingPower * 100), Custom String("{0} 이속:{1}% / 시간:{2}초", Hero Icon String(Hero(Juno)), Local Player.playerSpeed,
814	Create HUD Text(All Players(Team 1), Custom String(" 〔 {0} 〕 ", Array(Custom String("연습 모드"), Custom String("캐주얼 다이닝"),
815	Custom String("파인 다이닝"), Custom String("스타 비스트로"), Custom String("마스터쿡 챌린지"), Custom String("헤드셰프 챌린지"))
816	[Global.stageMode]), Custom String("{0}", Array(Custom String("자유롭게 연습할 수 있는 샌드박스 모드 입니다"), Custom String(
817	"5개의 메뉴가 등장하는 수습 난이도를 클리어하세요"), Custom String("모든 메뉴가 등장하는 숙련 난이도를 클리어하세요"), Custom String(
818	"까다로운 손님들이 등장하는 전문 난이도를 클리어하세요"), Custom String("Hell's Kitchen 클리어에 도전하세요"), Custom String(
819	"완벽의 영역에 도전하세요"))[Global.stageMode]), Local Player == Global.scbRank ? Custom String("[{0}]: 모드 변경",
820	Input Binding String(Button(Reload)), Input Binding String(Button(Jump))) : Custom String(" 방장이 모드를 결정하는 중입니다"), Top, -998,
846	Custom String("〔{1}〕: 모드-{0}", Global.stage == 4 ? Custom String("다른 메뉴") : (Global.stage == 3 ? Custom String("연습 종료") : (
