edition	old_code	new_code	kind
org	0	0	existing
org	1	61	existing
org	2	62	existing
org	3	63	existing
org	4	64	existing
org	5	65	existing
org	6	265	existing
org	7	354	existing
org	8	352	existing
org	9	353	existing
org	10	355	existing
org	11	356	existing
org	12	357	existing
org	13	358	existing
org	14	359	existing
org	15	360	existing
org	16	361	existing
org	17	434	existing
org	18	432	existing
org	19	433	existing
org	20	475	existing
org	21	21	existing
org	22	22	existing
org	23	23	existing
org	24	24	existing
org	25	25	existing
org	26	26	existing
org	27	27	existing
org	28	28	existing
org	29	29	existing
org	30	30	existing
org	31	31	existing
org	32	32	existing
org	33	33	existing
org	34	34	existing
org	35	35	existing
org	36	36	existing
org	37	37	existing
org	38	38	existing
org	39	39	existing
org	40	40	existing
org	41	41	existing
org	42	42	existing
org	43	43	existing
org	44	44	existing
org	45	45	existing
org	46	46	existing
org	47	47	existing
org	48	48	existing
org	49	49	existing
org	50	50	existing
org	51	51	existing
org	52	52	existing
org	53	53	existing
org	54	54	existing
org	55	55	existing
org	56	56	existing
org	57	57	existing
org	58	58	existing
org	59	59	existing
org	60	60	existing
org	61	1	existing
org	62	2	existing
org	63	3	existing
org	64	4	existing
org	65	5	existing
org	66	66	existing
org	67	67	existing
org	68	68	existing
org	69	69	existing
org	70	70	existing
org	71	71	existing
org	72	72	existing
org	73	73	existing
org	74	74	existing
org	75	75	existing
org	76	76	existing
org	77	77	existing
org	78	78	existing
org	79	79	existing
org	80	80	existing
org	81	81	existing
org	82	82	existing
org	83	83	existing
org	84	84	existing
org	85	85	existing
org	86	86	existing
org	87	87	existing
org	88	88	existing
org	89	89	existing
org	90	90	existing
org	91	91	existing
org	92	92	existing
org	93	93	existing
org	94	94	existing
org	95	95	existing
org	96	96	existing
org	97	97	existing
org	98	98	existing
org	99	99	existing
org	100	100	existing
org	101	101	existing
org	102	102	existing
org	103	103	existing
org	104	104	existing
org	105	105	existing
org	106	106	existing
org	107	107	existing
org	108	108	existing
org	109	109	existing
org	110	110	existing
org	111	111	existing
org	112	112	existing
org	113	113	existing
org	114	114	existing
org	115	115	existing
org	116	116	existing
org	117	117	existing
org	118	118	existing
org	119	119	existing
org	120	120	existing
org	121	121	existing
org	122	122	existing
org	123	123	existing
org	124	124	existing
org	125	125	existing
org	126	126	existing
org	127	127	existing
org	128	128	existing
org	129	129	existing
org	130	130	existing
org	131	131	existing
org	132	132	existing
org	133	133	existing
org	134	134	existing
org	135	135	existing
org	136	136	existing
org	137	137	existing
org	138	138	existing
org	139	139	existing
org	140	140	existing
org	141	141	existing
org	142	142	existing
org	143	143	existing
org	144	144	existing
org	145	145	existing
org	146	146	existing
org	147	147	existing
org	148	148	existing
org	149	149	existing
org	150	150	existing
org	151	151	existing
org	152	152	existing
org	153	153	existing
org	154	154	existing
org	155	155	existing
org	156	156	existing
org	157	157	existing
org	158	158	existing
org	159	159	existing
org	160	160	existing
org	161	161	existing
org	162	162	existing
org	163	163	existing
org	164	164	existing
org	165	165	existing
org	166	166	existing
org	167	167	existing
org	168	168	existing
org	169	169	existing
org	170	170	existing
org	171	171	existing
org	172	172	existing
org	173	173	existing
org	174	174	existing
org	175	175	existing
org	176	176	existing
org	177	177	existing
org	178	178	existing
org	179	179	existing
org	180	180	existing
org	181	181	existing
org	182	182	existing
org	183	183	existing
org	184	184	existing
org	185	185	existing
org	186	186	existing
org	187	187	existing
org	188	188	existing
org	189	189	existing
org	190	190	existing
org	191	191	existing
org	192	192	existing
org	193	193	existing
org	194	194	existing
org	195	195	existing
org	196	196	existing
org	197	197	existing
org	198	198	existing
org	199	199	existing
org	200	200	existing
org	201	201	existing
org	202	202	existing
org	203	203	existing
org	204	204	existing
org	205	205	existing
org	206	206	existing
org	207	207	existing
org	208	208	existing
org	209	209	existing
org	210	210	existing
org	211	211	existing
org	212	212	existing
org	213	213	existing
org	214	214	existing
org	215	215	existing
org	216	216	existing
org	217	217	existing
org	218	218	existing
org	219	219	existing
org	220	220	existing
org	221	221	existing
org	222	222	existing
org	223	223	existing
org	224	224	existing
org	225	225	existing
org	226	226	existing
org	227	227	existing
org	228	228	existing
org	229	229	existing
org	230	230	existing
org	231	231	existing
org	232	232	existing
org	233	233	existing
org	234	234	existing
org	235	235	existing
org	236	236	existing
org	237	237	existing
org	238	238	existing
org	239	239	existing
org	240	240	existing
org	241	241	existing
org	242	242	existing
org	243	243	existing
org	244	244	existing
org	245	245	existing
org	246	246	existing
org	247	247	existing
org	248	248	existing
org	249	249	existing
org	250	250	existing
org	251	251	existing
org	252	252	existing
org	253	253	existing
org	254	254	existing
org	255	255	existing
org	256	256	existing
org	257	257	existing
org	258	258	existing
org	259	259	existing
org	260	260	existing
org	261	261	existing
org	262	262	existing
org	263	263	existing
org	264	264	existing
org	265	6	existing
org	266	266	existing
org	267	267	existing
org	268	268	existing
org	269	269	existing
org	270	270	existing
org	271	271	existing
org	272	272	existing
org	273	273	existing
org	274	274	existing
org	275	275	existing
org	276	276	existing
org	277	277	existing
org	278	278	existing
org	279	279	existing
org	280	280	existing
org	281	281	existing
org	282	282	existing
org	283	283	existing
org	284	284	existing
org	285	285	existing
org	286	286	existing
org	287	287	existing
org	288	288	existing
org	289	289	existing
org	290	290	existing
org	291	291	existing
org	292	292	existing
org	293	293	existing
org	294	294	existing
org	295	295	existing
org	296	296	existing
org	297	297	existing
org	298	298	existing
